timestamp,subcarrier_index,I,Q,magnitude,phase
0.003,0,98,35,104.062,19.65
0.003,1,0,-7,7.0,-90.0
0.003,2,21,-10,23.259,-25.46
0.003,3,26,-11,28.231,-22.93
0.003,4,31,-13,33.615,-22.75
0.003,5,35,-14,37.696,-21.8
0.003,6,39,-14,41.437,-19.75
0.003,7,41,-12,42.72,-16.31
0.003,8,44,-10,45.122,-12.8
0.003,9,43,-9,43.932,-11.82
0.003,10,42,-7,42.579,-9.46
0.003,11,41,-6,41.437,-8.33
0.003,12,38,-5,38.328,-7.5
0.003,13,33,-4,33.242,-6.91
0.003,14,28,-4,28.284,-8.13
0.003,15,22,-4,22.361,-10.3
0.003,16,15,-4,15.524,-14.93
0.003,17,9,-4,9.849,-23.96
0.003,18,2,-5,5.385,-68.2
0.003,19,-4,-5,6.403,-128.66
0.003,20,-9,-5,10.296,-150.95
0.003,21,-13,-4,13.601,-162.9
0.003,22,-16,-4,16.492,-165.96
0.003,23,-18,-3,18.248,-170.54
0.003,24,-18,-3,18.248,-170.54
0.003,25,-18,-1,18.028,-176.82
0.003,26,-16,0,16.0,180.0
0.003,27,0,0,0.0,0.0
0.003,28,0,0,0.0,0.0
0.003,29,0,0,0.0,0.0
0.003,30,0,0,0.0,0.0
0.003,31,0,0,0.0,0.0
0.003,32,0,0,0.0,0.0
0.003,33,0,0,0.0,0.0
0.003,34,0,0,0.0,0.0
0.003,35,0,0,0.0,0.0
0.003,36,0,0,0.0,0.0
0.003,37,0,-24,24.0,-90.0
0.003,38,-11,-26,28.231,-112.93
0.003,39,-13,-28,30.871,-114.9
0.003,40,-15,-28,31.765,-118.18
0.003,41,-16,-29,33.121,-118.89
0.003,42,-16,-28,32.249,-119.74
0.003,43,-15,-27,30.887,-119.05
0.003,44,-14,-24,27.785,-120.26
0.003,45,-13,-20,23.854,-123.02
0.003,46,-11,-16,19.416,-124.51
0.003,47,-8,-11,13.601,-126.03
0.003,48,-5,-6,7.81,-129.81
0.003,49,-2,0,2.0,180.0
0.003,50,0,6,6.0,90.0
0.003,51,2,11,11.18,79.7
0.003,52,4,16,16.492,75.96
0.003,53,4,19,19.416,78.11
0.003,54,4,23,23.345,80.13
0.003,55,3,24,24.187,82.87
0.003,56,3,25,25.179,83.16
0.003,57,2,25,25.08,85.43
0.003,58,1,23,23.022,87.51
0.003,59,1,19,19.026,86.99
0.003,60,2,18,18.111,83.66
0.003,61,3,12,12.369,75.96
0.003,62,5,8,9.434,57.99
0.0694,0,32,6,32.558,10.62
0.0694,1,0,17,17.0,90.0
0.0694,2,11,22,24.597,63.43
0.0694,3,16,26,30.529,58.39
0.0694,4,19,29,34.67,56.77
0.0694,5,23,33,40.224,55.12
