timestamp,subcarrier_index,I,Q,magnitude,phase
0.0601,16,4,24,24.331,80.54
0.0601,17,4,21,21.378,79.22
0.0601,18,4,19,19.416,78.11
0.0601,19,3,15,15.297,78.69
0.0601,20,4,10,10.77,68.2
0.0601,21,5,7,8.602,54.46
0.0601,22,8,3,8.544,20.56
0.0601,23,9,-2,9.22,-12.53
0.0601,24,10,-4,10.77,-21.8
0.0601,25,13,-7,14.765,-28.3
0.0601,26,14,0,14.0,0.0
0.0601,27,0,0,0.0,0.0
0.0601,28,0,0,0.0,0.0
0.0601,29,0,0,0.0,0.0
0.0601,30,0,0,0.0,0.0
0.0601,31,0,0,0.0,0.0
0.0601,32,0,0,0.0,0.0
0.0601,33,0,0,0.0,0.0
0.0601,34,0,0,0.0,0.0
0.0601,35,0,0,0.0,0.0
0.0601,36,0,0,0.0,0.0
0.0601,37,0,-8,8.0,-90.0
0.0601,38,-5,-6,7.81,-129.81
0.0601,39,-8,-4,8.944,-153.43
0.0601,40,-11,-3,11.402,-164.74
0.0601,41,-17,-1,17.029,-176.63
0.0601,42,-22,-1,22.023,-177.4
0.0601,43,-26,-3,26.173,-173.42
0.0601,44,-30,-5,30.414,-170.54
0.0601,45,-34,-5,34.366,-171.63
0.0601,46,-36,-7,36.674,-169.0
0.0601,47,-38,-9,39.051,-166.68
0.0601,48,-38,-12,39.85,-162.47
0.0601,49,-37,-12,38.897,-162.03
0.0601,50,-34,-14,36.77,-157.62
0.0601,51,-30,-13,32.696,-156.57
0.0601,52,-24,-11,26.401,-155.38
0.0601,53,-19,-9,21.024,-154.65
0.0601,54,-14,-4,14.56,-164.05
0.0601,55,-8,-1,8.062,-172.87
0.0601,56,-5,5,7.071,135.0
0.0601,57,-3,9,9.487,108.43
0.0601,58,-2,16,16.125,97.13
0.0601,59,-1,19,19.026,93.01
0.0601,60,-3,25,25.179,96.84
0.0601,61,-5,27,27.459,100.49
0.0601,62,-6,26,26.683,102.99
0.0856,0,32,6,32.558,10.62
0.0856,1,0,15,15.0,90.0
0.0856,2,26,15,30.017,29.98
0.0856,3,23,15,27.459,33.11
0.0856,4,22,12,25.06,28.61
0.0856,5,20,10,22.361,26.57
0.0856,6,19,6,19.925,17.53
0.0856,7,18,2,18.111,6.34
0.0856,8,19,1,19.026,3.01
0.0856,9,21,-2,21.095,-5.44
0.0856,10,21,-3,21.213,-8.13
0.0856,11,23,-3,23.195,-7.43
0.0856,12,24,-3,24.187,-7.13
0.0856,13,26,-3,26.173,-6.58
0.0856,14,27,-4,27.295,-8.43
0.0856,15,27,-3,27.166,-6.34
0.0856,16,25,-2,25.08,-4.57
0.0856,17,26,-2,26.077,-4.4
0.0856,18,22,-2,22.091,-5.19
0.0856,19,20,-4,20.396,-11.31
0.0856,20,16,-5,16.763,-17.35
0.0856,21,12,-7,13.892,-30.26
0.0856,22,7,-9,11.402,-52.13
0.0856,23,4,-10,10.77,-68.2
0.0856,24,1,-14,14.036,-85.91
0.0856,25,-2,-15,15.133,-97.59
0.0856,26,-5,0,5.0,180.0
0.0856,27,0,0,0.0,0.0
0.0856,28,0,0,0.0,0.0
0.0856,29,0,0,0.0,0.0
0.0856,30,0,0,0.0,0.0
0.0856,31,0,0,0.0,0.0
0.0856,32,0,0,0.0,0.0
0.0856,33,0,0,0.0,0.0
0.0856,34,0,0,0.0,0.0
0.0856,35,0,0,0.0,0.0
0.0856,36,0,0,0.0,0.0
0.0856,37,0,2,2.0,90.0
0.0856,38,-8,6,10.0,143.13
0.0856,39,-6,11,12.53,118.61
0.0856,40,-4,14,14.56,105.95
0.0856,41,-3,18,18.248,99.46
0.0856,42,-4,24,24.331,99.46
0.0856,43,-3,29,29.155,95.91
0.0856,44,-5,33,33.377,98.62
0.0856,45,-6,35,35.511,99.73
0.0856,46,-9,36,37.108,104.04
0.0856,47,-12,36,37.947,108.43
0.0856,48,-13,35,37.336,110.38
0.0856,49,-14,32,34.928,113.63
0.0856,50,-16,28,32.249,119.74
0.0856,51,-17,23,28.601,126.47
0.0856,52,-17,17,24.042,135.0
0.0856,53,-12,13,17.692,132.71
0.0856,54,-9,9,12.728,135.0
0.0856,55,-6,5,7.81,140.19
0.0856,56,-1,3,3.162,108.43
0.0856,57,5,3,5.831,30.96
0.0856,58,10,2,10.198,11.31
0.0856,59,16,5,16.763,17.35
0.0856,60,21,7,22.136,18.43
0.0856,61,23,9,24.698,21.37
0.0856,62,26,10,27.857,21.04
0.1111,0,112,8,112.285,4.09
0.1111,1,0,-36,36.0,-90.0
0.1111,2,11,-33,34.785,-71.57
0.1111,3,10,-29,30.676,-70.97
0.1111,4,9,-28,29.411,-72.18
0.1111,5,8,-25,26.249,-72.26
0.1111,6,5,-24,24.515,-78.23
0.1111,7,3,-23,23.195,-82.57
0.1111,8,-2,-23,23.087,-94.97
0.1111,9,-3,-25,25.179,-96.84
0.1111,10,-8,-27,28.16,-106.5
0.1111,11,-12,-28,30.463,-113.2
0.1111,12,-13,-31,33.615,-112.75
0.1111,13,-13,-28,30.871,-114.9
0.1111,14,-11,-30,31.953,-110.14
0.1111,15,-12,-29,31.385,-112.48
0.1111,16,-11,-26,28.231,-112.93
0.1111,17,-12,-25,27.731,-115.64
0.1111,18,-6,-20,20.881,-106.7
0.1111,19,-9,-15,17.493,-120.96
0.1111,20,-8,-12,14.422,-123.69
