timestamp,subcarrier_index,I,Q,magnitude,phase
0.1251,15,17,-20,26.249,-49.64
0.1251,16,20,-22,29.732,-47.73
0.1251,17,17,-19,25.495,-48.18
0.1251,18,19,-19,26.87,-45.0
0.1251,19,13,-19,23.022,-55.62
0.1251,20,12,-18,21.633,-56.31
0.1251,21,13,-18,22.204,-54.16
0.1251,22,14,-18,22.804,-52.13
0.1251,23,10,-15,18.028,-56.31
0.1251,24,11,-15,18.601,-53.75
0.1251,25,10,-13,16.401,-52.43
0.1251,26,7,0,7.0,0.0
0.1251,27,0,0,0.0,0.0
0.1251,28,0,0,0.0,0.0
0.1251,29,0,0,0.0,0.0
0.1251,30,0,0,0.0,0.0
0.1251,31,0,0,0.0,0.0
0.1251,32,0,0,0.0,0.0
0.1251,33,0,0,0.0,0.0
0.1251,34,0,0,0.0,0.0
0.1251,35,0,0,0.0,0.0
0.1251,36,0,0,0.0,0.0
0.1251,37,0,-3,3.0,-90.0
0.1251,38,6,-8,10.0,-53.13
0.1251,39,6,-8,10.0,-53.13
0.1251,40,4,-10,10.77,-68.2
0.1251,41,5,-7,8.602,-54.46
0.1251,42,8,-10,12.806,-51.34
0.1251,43,7,-10,12.207,-55.01
0.1251,44,8,-12,14.422,-56.31
0.1251,45,8,-16,17.889,-63.43
0.1251,46,14,-15,20.518,-46.97
0.1251,47,12,-16,20.0,-53.13
0.1251,48,14,-20,24.413,-55.01
0.1251,49,11,-23,25.495,-64.44
0.1251,50,10,-24,26.0,-67.38
0.1251,51,7,-21,22.136,-71.57
0.1251,52,5,-22,22.561,-77.2
0.1251,53,5,-19,19.647,-75.26
0.1251,54,6,-17,18.028,-70.56
0.1251,55,7,-17,18.385,-67.62
0.1251,56,8,-21,22.472,-69.15
0.1251,57,10,-19,21.471,-62.24
0.1251,58,7,-18,19.313,-68.75
0.1251,59,14,-25,28.653,-60.75
0.1251,60,17,-21,27.019,-51.01
0.1251,61,19,-24,30.61,-51.63
0.1251,62,19,-23,29.833,-50.44
0.1875,0,-64,1,64.008,179.1
0.1875,1,0,2,2.0,90.0
0.1875,2,32,5,32.388,8.88
0.1875,3,32,3,32.14,5.36
0.1875,4,31,3,31.145,5.53
0.1875,5,30,-1,30.017,-1.91
0.1875,6,30,5,30.414,9.46
0.1875,7,29,7,29.833,13.57
0.1875,8,29,3,29.155,5.91
0.1875,9,29,1,29.017,1.97
0.1875,10,27,7,27.893,14.53
0.1875,11,25,4,25.318,9.09
0.1875,12,21,7,22.136,18.43
0.1875,13,25,10,26.926,21.8
0.1875,14,30,11,31.953,20.14
0.1875,15,27,9,28.46,18.43
0.1875,16,28,3,28.16,6.12
0.1875,17,23,5,23.537,12.26
0.1875,18,20,5,20.616,14.04
0.1875,19,24,7,25.0,16.26
0.1875,20,21,5,21.587,13.39
0.1875,21,19,7,20.248,20.22
0.1875,22,19,8,20.616,22.83
0.1875,23,19,1,19.026,3.01
0.1875,24,21,4,21.378,10.78
0.1875,25,15,-1,15.033,-3.81
0.1875,26,16,0,16.0,0.0
0.1875,27,0,0,0.0,0.0
0.1875,28,0,0,0.0,0.0
0.1875,29,0,0,0.0,0.0
0.1875,30,0,0,0.0,0.0
0.1875,31,0,0,0.0,0.0
0.1875,32,0,0,0.0,0.0
0.1875,33,0,0,0.0,0.0
0.1875,34,0,0,0.0,0.0
0.1875,35,0,0,0.0,0.0
0.1875,36,0,0,0.0,0.0
0.1875,37,0,-1,1.0,-90.0
0.1875,38,7,0,7.0,0.0
0.1875,39,8,-1,8.062,-7.13
0.1875,40,11,-1,11.045,-5.19
0.1875,41,7,2,7.28,15.95
0.1875,42,11,0,11.0,0.0
0.1875,43,12,1,12.042,4.76
0.1875,44,13,1,13.038,4.4
0.1875,45,15,5,15.811,18.43
0.1875,46,17,1,17.029,3.37
0.1875,47,21,-1,21.024,-2.73
