timestamp,subcarrier_index,I,Q,magnitude,phase_deg
727.368268,10,5,-13,13.928,-68.962
727.368268,11,7,-14,15.652,-63.435
727.368268,12,8,-14,16.125,-60.255
727.368268,13,7,-14,15.652,-63.435
727.368268,14,6,-16,17.088,-69.444
727.368268,15,6,-18,18.974,-71.565
727.368268,16,7,-20,21.19,-70.71
727.368268,17,9,-20,21.932,-65.772
727.368268,18,10,-19,21.471,-62.241
727.368268,19,9,-20,21.932,-65.772
727.368268,20,8,-21,22.472,-69.146
727.368268,21,9,-21,22.847,-66.801
727.368268,22,10,-19,21.471,-62.241
727.368268,23,11,-17,20.248,-57.095
727.368268,24,11,-16,19.416,-55.491
727.368268,25,10,-16,18.868,-57.995
727.368268,26,10,-17,19.723,-59.534
727.368268,27,0,0,0.0,0.0
727.368268,28,0,0,0.0,0.0
727.368268,29,0,0,0.0,0.0
727.368268,30,0,0,0.0,0.0
727.368268,31,0,0,0.0,0.0
727.368268,32,0,0,0.0,0.0
727.368268,33,0,0,0.0,0.0
727.368268,34,0,0,0.0,0.0
727.368268,35,0,0,0.0,0.0
727.368268,36,0,0,0.0,0.0
727.368268,37,0,0,0.0,0.0
727.368268,38,-12,-3,12.369,-165.964
727.368268,39,-12,-3,12.369,-165.964
727.368268,40,-11,-1,11.045,-174.806
727.368268,41,-11,-1,11.045,-174.806
727.368268,42,-12,-1,12.042,-175.236
727.368268,43,-12,-2,12.166,-170.538
727.368268,44,-11,-2,11.18,-169.695
727.368268,45,-9,-3,9.487,-161.565
727.368268,46,-8,-1,8.062,-172.875
727.368268,47,-7,0,7.0,180.0
727.368268,48,-6,0,6.0,180.0
727.368268,49,-7,0,7.0,180.0
727.368268,50,-7,1,7.071,171.87
727.368268,51,-6,-1,6.083,-170.538
727.368268,52,-5,-2,5.385,-158.199
727.368268,53,-3,-1,3.162,-161.565
727.368268,54,-2,-1,2.236,-153.435
727.368268,55,-1,0,1.0,180.0
727.368268,56,1,0,1.0,0.0
727.368268,57,2,0,2.0,0.0
727.368268,58,2,0,2.0,0.0
727.368268,59,2,-1,2.236,-26.565
727.368268,60,3,0,3.0,0.0
727.368268,61,4,1,4.123,14.036
727.368268,62,5,2,5.385,21.801
727.368268,63,4,2,4.472,26.565
727.573133,0,0,0,0.0,0.0
727.573133,1,5,4,6.403,38.66
727.573133,2,7,1,7.071,8.13
727.573133,3,8,-2,8.246,-14.036
727.573133,4,8,-2,8.246,-14.036
727.573133,5,10,-4,10.77,-21.801
727.573133,6,10,-5,11.18,-26.565
727.573133,7,10,-3,10.44,-16.699
727.573133,8,9,-5,10.296,-29.055
727.573133,9,10,-8,12.806,-38.66
727.573133,10,12,-10,15.62,-39.806
727.573133,11,12,-10,15.62,-39.806
727.573133,12,10,-9,13.454,-41.987
727.573133,13,10,-10,14.142,-45.0
727.573133,14,12,-12,16.971,-45.0
727.573133,15,14,-12,18.439,-40.601
727.573133,16,16,-12,20.0,-36.87
727.573133,17,18,-12,21.633,-33.69
727.573133,18,19,-11,21.954,-30.069
727.573133,19,18,-12,21.633,-33.69
727.573133,20,18,-13,22.204,-35.838
727.573133,21,19,-12,22.472,-32.276
727.573133,22,20,-10,22.361,-26.565
727.573133,23,19,-9,21.024,-25.346
727.573133,24,17,-8,18.788,-25.201
727.573133,25,15,-7,16.553,-25.017
727.573133,26,14,-6,15.232,-23.199
727.573133,27,0,0,0.0,0.0
727.573133,28,0,0,0.0,0.0
727.573133,29,0,0,0.0,0.0
727.573133,30,0,0,0.0,0.0
727.573133,31,0,0,0.0,0.0
727.573133,32,0,0,0.0,0.0
727.573133,33,0,0,0.0,0.0
727.573133,34,0,0,0.0,0.0
727.573133,35,0,0,0.0,0.0
727.573133,36,0,0,0.0,0.0
727.573133,37,0,0,0.0,0.0
727.573133,38,-12,-1,12.042,-175.236
727.573133,39,-11,-1,11.045,-174.806
727.573133,40,-9,-2,9.22,-167.471
727.573133,41,-10,-3,10.44,-163.301
727.573133,42,-11,-3,11.402,-164.745
727.573133,43,-11,-2,11.18,-169.695
727.573133,44,-10,-3,10.44,-163.301
727.573133,45,-9,-3,9.487,-161.565
727.573133,46,-7,-2,7.28,-164.055
727.573133,47,-5,-1,5.099,-168.69
727.573133,48,-3,0,3.0,180.0
727.573133,49,-4,0,4.0,180.0
727.573133,50,-6,0,6.0,180.0
727.573133,51,-6,0,6.0,180.0
727.573133,52,-5,0,5.0,180.0
727.573133,53,-4,1,4.123,165.964
727.573133,54,-3,0,3.0,180.0
727.573133,55,0,-1,1.0,-90.0
727.573133,56,1,0,1.0,0.0
727.573133,57,0,1,1.0,90.0
727.573133,58,0,0,0.0,0.0
727.573133,59,2,1,2.236,26.565
727.573133,60,3,3,4.243,45.0
727.573133,61,4,3,5.0,36.87
727.573133,62,5,2,5.385,21.801
727.573133,63,4,2,4.472,26.565
727.619243,0,0,0,0.0,0.0
727.619243,1,-5,-4,6.403,-141.34
727.619243,2,-6,-5,7.81,-140.194
727.619243,3,-7,-2,7.28,-164.055
727.619243,4,-8,1,8.062,172.875
727.619243,5,-11,1,11.045,174.806
727.619243,6,-12,1,12.042,175.236
727.619243,7,-12,1,12.042,175.236
727.619243,8,-13,-1,13.038,-175.601
727.619243,9,-14,1,14.036,175.914
727.619243,10,-15,1,15.033,176.186
727.619243,11,-14,1,14.036,175.914
727.619243,12,-15,6,16.155,158.199
727.619243,13,-16,9,18.358,150.642
727.619243,14,-17,9,19.235,152.103
727.619243,15,-18,10,20.591,150.945
727.619243,16,-19,12,22.472,147.724
727.619243,17,-20,11,22.825,151.189
727.619243,18,-21,11,23.707,152.354
727.619243,19,-21,12,24.187,150.255
727.619243,20,-22,10,24.166,155.556
727.619243,21,-24,8,25.298,161.565
727.619243,22,-24,7,25.0,163.74
727.619243,23,-22,6,22.804,164.745
727.619243,24,-21,5,21.587,166.608
727.619243,25,-20,6,20.881,163.301
727.619243,26,-20,6,20.881,163.301
727.619243,27,0,0,0.0,0.0
727.619243,28,0,0,0.0,0.0
727.619243,29,0,0,0.0,0.0
727.619243,30,0,0,0.0,0.0
727.619243,31,0,0,0.0,0.0
727.619243,32,0,0,0.0,0.0
727.619243,33,0,0,0.0,0.0
727.619243,34,0,0,0.0,0.0
727.619243,35,0,0,0.0,0.0
727.619243,36,0,0,0.0,0.0
727.619243,37,0,0,0.0,0.0
727.619243,38,11,10,14.866,42.274
727.619243,39,10,9,13.454,41.987
727.619243,40,9,7,11.402,37.875
727.619243,41,9,7,11.402,37.875
727.619243,42,8,6,10.0,36.87
727.619243,43,7,7,9.899,45.0
727.619243,44,7,7,9.899,45.0
727.619243,45,6,7,9.22,49.399
727.619243,46,6,6,8.485,45.0
727.619243,47,5,4,6.403,38.66
727.619243,48,6,2,6.325,18.435
727.619243,49,7,3,7.616,23.199
727.619243,50,7,3,7.616,23.199
727.619243,51,6,2,6.325,18.435
727.619243,52,4,2,4.472,26.565
727.619243,53,2,2,2.828,45.0
