CSI:125,-48,7,0,18,19,15,15,12,10,7,7,2,5,-4,3,-9,4,-14,4,-18,6,-21,9,-23,12,-25,14,-26,16,-24,17,-24,17,-22,15,-20,13,-18,9,-16,6,-15,1,-14,-3,-14,-8,-13,-12,-14,-16,-13,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,2,-2,6,-1,11,-1,14,-1,18,-2,21,-3,24,-5,26,-5,27,-7,26,-7,25,-7,22,-7,18,-5,14,-3,10,-1,7,3,5,8,4,12,3,17,5,22,7,25,9,28,12,30,15,30,17,29
CSI:125,-48,7,0,-7,-28,-7,-23,-7,-17,-4,-12,-1,-6,4,-2,9,1,14,4,19,3,23,3,28,1,30,0,31,-1,31,-2,30,-2,28,-2,25,-2,21,1,17,3,13,7,9,10,6,13,4,17,1,21,-1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,-1,-7,-3,-11,-5,-16,-6,-20,-8,-24,-8,-27,-7,-29,-7,-31,-6,-30,-5,-29,-4,-25,-3,-21,-3,-16,-4,-11,-5,-6,-7,-1,-10,2,-14,5,-19,6,-24,6,-28,4,-32,3,-35,1,-37,-1,-37
CSI:125,-48,7,0,-32,-1,-26,1,-20,1,-13,1,-6,-2,-1,-6,4,-10,8,-15,11,-20,11,-25,11,-29,10,-32,10,-34,10,-35,9,-33,8,-31,8,-27,9,-22,10,-17,12,-11,14,-6,16,-2,20,3,22,6,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,3,-4,6,-8,10,-10,14,-12,19,-13,23,-14,27,-14,29,-13,31,-12,30,-11,29,-9,26,-8,22,-8,16,-8,9,-9,3,-11,-2,-15,-7,-19,-10,-24,-14,-29,-15,-32,-15,-37,-14,-40,-12,-40,-10
CSI:125,-48,7,0,-12,-15,-10,-11,-8,-9,-5,-7,-2,-4,2,-3,5,-3,8,-3,12,-4,14,-6,16,-8,17,-10,17,-11,17,-12,16,-11,15,-10,13,-9,12,-7,11,-4,10,-1,9,2,8,5,8,7,8,10,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,-5,-1,-8,-2,-10,-2,-13,-2,-16,-1,-17,-1,-19,0,-19,1,-19,1,-18,1,-16,2,-14,1,-11,0,-8,-2,-5,-4,-3,-7,-2,-9,-1,-12,-2,-16,-3,-18,-5,-20,-7,-22,-9,-22,-10,-21
CSI:125,-48,7,0,15,-7,12,-7,8,-5,6,-4,3,-1,2,2,0,5,0,8,0,11,1,14,2,15,3,17,4,18,5,17,5,17,4,16,3,14,2,12,0,10,-2,8,-5,7,-7,6,-10,5,-12,4,-14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,-2,0,-4,1,-7,2,-9,3,-11,3,-14,3,-16,2,-17,1,-18,1,-17,1,-17,0,-15,0,-13,0,-10,2,-7,3,-4,5,-2,7,0,10,1,13,1,16,1,18,0,20,-2,21,-3,20,-5
CSI:-117,-80,8,0,-6,2,0,-2,-4,-7,-5,-14,-11,-23,-22,-31,-6,-29,-17,-30,-18,-27,-22,-25,-16,-25,-17,-21,-14,-22,-9,-11,-3,-12,-1,-7,-2,-9,4,-6,5,-1,6,1,7,4,3,3,1,-2,2,-1,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-10,-4,-15,-2,-22,-3,-28,-3,-29,0,-33,-1,-30,1,-35,3,-32,3,-25,2,-25,-2,-10,-1,-6,-1,1,2,7,0,15,0,21,4,28,6,32,11,38,10,40,10,39,13,42,12,37,9,36,6,30
CSI:-117,-80,8,0,-4,4,-10,-7,-7,-3,-8,-22,-9,-20,-10,-32,-5,-31,-7,-35,-8,-24,-6,-27,-7,-23,-5,-18,-6,-17,-9,-12,-1,-10,-3,-13,5,-6,3,-3,9,1,4,2,6,-1,4,-3,1,3,7,-5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-11,-1,-19,0,-19,2,-28,6,-28,7,-33,8,-33,8,-30,7,-30,5,-24,4,-20,4,-12,-1,-6,-8,5,-4,8,-5,14,-6,23,-5,33,-3,34,-6,35,-3,40,2,46,-1,42,-2,38,1,38,2,23
CSI:-117,-80,8,0,4,-8,-8,1,-12,14,-7,19,-14,25,-9,32,-13,24,-13,27,-20,25,-13,28,-8,20,-16,19,-8,18,-4,9,-8,5,-3,6,-8,0,-6,-4,-3,-5,0,-5,-2,-3,-1,-3,-2,-4,-6,-5,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,12,0,19,-3,27,-6,30,-7,32,-4,31,-7,28,-8,30,-8,22,-7,14,-8,10,-1,6,5,1,7,-7,6,-12,8,-19,8,-28,8,-33,9,-34,8,-38,9,-40,12,-40,18,-35,15,-33,6,-28
CSI:125,-48,7,0,6,-1,16,1,-8,6,-5,2,-16,5,-19,5,-11,10,-10,12,-15,9,-12,19,-14,23,-15,24,-15,29,-15,31,-15,36,-10,36,-13,39,-13,33,-9,24,-3,21,7,17,15,13,21,12,29,15,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,9,7,9,8,9,12,11,15,9,17,4,18,10,17,4,16,5,12,10,12,13,11,17,17,21,15,20,21,15,20,8,22,5,17,0,15,-4,5,-7,4,1,3,-3,-9,3,-29,5,-11
CSI:125,-48,7,0,13,-4,9,2,2,0,-7,1,-9,-6,-10,-13,-9,-10,-11,-8,-13,-8,-21,1,-32,4,-21,9,-38,9,-39,9,-37,2,-34,18,-37,4,-31,14,-25,12,-16,15,-10,12,-2,19,-3,27,7,32,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-5,10,-7,8,-12,11,-9,15,-16,11,-21,12,-20,12,-15,8,-11,9,-14,9,-7,11,-8,16,-10,24,-11,25,-17,28,-18,21,-20,18,-22,7,-19,4,-14,-1,-2,-6,-3,-7,13,-10,15,-12,21,-5
CSI:125,-48,7,0,44,-7,30,18,37,6,31,8,28,7,19,6,28,-6,11,-2,7,-2,-12,-5,-11,-2,-10,-11,-14,-14,-8,-3,-8,-21,-16,-13,-9,-13,-10,-6,-13,-6,-11,-2,-15,2,-15,0,-18,9,-18,-3,-11,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-9,-17,-12,-11,-7,-7,-2,0,-1,-3,5,-3,10,-2,16,-5,20,-7,23,-12,29,-10,22,-14,24,-15,22,-16,24,-12,20,-12,23,-4,17,-9,13,14,4,-8,4,-3,12,-10,-7,7,-12,14,-10,53,-7
CSI:125,-48,7,0,29,-11,31,-6,28,-29,22,-15,34,-22,5,-1,25,-2,4,-8,4,-14,-10,-11,-4,-8,-9,-5,-13,-9,-20,-5,-19,-7,-20,-5,-15,-5,-7,-7,-9,10,-21,5,-9,8,-14,9,-19,9,-18,7,-7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,12,-17,4,-11,2,-9,6,-2,2,-1,6,8,5,15,6,22,10,26,15,25,15,18,24,14,24,11,26,3,21,12,21,3,17,11,2,3,4,7,12,26,3,18,-6,23,4,7,-23,4,-7,14,8
CSI:125,-48,7,0,17,21,12,26,13,29,13,25,8,22,13,25,26,17,1,14,12,-7,3,-4,30,-31,14,8,-2,-15,7,-26,8,-29,10,-19,-12,-23,-7,-8,-11,-20,-14,-14,-14,-15,-14,-17,-14,-16,-16,-13,-18,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-21,13,-12,8,-13,6,-12,5,-6,1,0,-3,-3,-13,6,-18,3,-27,3,-32,-5,-32,-6,-31,-11,-33,-9,-25,-9,-22,-8,-20,-7,-16,0,-15,-2,-18,2,-13,12,-10,9,2,10,2,17,5,13,4,16
CSI:-64,0,12,0,-17,-19,-18,-15,-12,-13,-8,-7,-2,-4,5,-5,12,-1,18,-1,23,-5,26,-5,30,-9,33,-11,33,-15,33,-15,30,-15,29,-15,27,-12,22,-11,18,-7,16,-2,12,2,9,8,6,13,5,18,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,-3,6,-8,8,-12,11,-16,14,-20,17,-21,18,-23,23,-24,24,-23,24,-22,24,-20,23,-17,20,-13,15,-10,11,-9,6,-7,-1,-6,-7,-5,-14,-8,-19,-9,-24,-12,-28,-15,-29,-18,-31,-20,-31
CSI:60,-63,19,0,11,-29,9,-22,5,-21,3,-13,6,-9,6,-2,11,3,15,8,19,10,21,10,27,10,31,11,33,8,34,7,35,5,32,5,30,3,26,2,20,1,17,3,13,7,8,11,4,14,1,16,-2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,7,-6,3,-6,-1,-8,-5,-11,-11,-13,-15,-17,-17,-20,-20,-23,-21,-24,-23,-25,-22,-27,-22,-25,-20,-24,-16,-19,-14,-15,-10,-9,-10,-5,-9,1,-11,7,-11,13,-15,15,-19,19,-21,20,-25,20,-28,18,-30
CSI:-68,-64,11,0,16,19,17,15,16,9,10,8,6,6,-1,8,-4,7,-9,11,-14,14,-14,18,-17,21,-14,24,-12,28,-11,30,-11,29,-10,29,-7,26,-8,24,-6,19,-8,15,-9,11,-12,6,-14,3,-16,-1,-18,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-8,0,-8,3,-6,7,-4,12,-3,16,-4,19,-6,23,-7,26,-8,27,-11,28,-11,27,-12,26,-13,22,-12,18,-11,15,-8,12,-4,9,-1,6,4,6,10,8,14,10,19,11,24,14,26,19,29,18,20
CSI:-64,0,12,0,-5,29,-4,24,-3,18,-1,12,-4,7,-6,2,-11,-1,-16,-4,-19,-6,-25,-6,-27,-2,-32,-4,-33,-3,-33,-1,-33,2,-30,2,-29,3,-25,0,-19,0,-17,-2,-14,-6,-11,-9,-8,-13,-5,-17,-4,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,3,-3,4,0,7,3,10,7,14,10,17,13,20,14,24,15,26,15,27,15,28,14,27,12,24,10,20,8,14,7,9,7,5,6,0,9,-5,12,-10,17,-10,19,-14,25,-16,28,-15,30,-11,31
CSI:-52,-64,12,0,17,-26,14,-21,12,-18,9,-14,10,-9,9,-3,11,1,17,1,20,4,26,7,30,2,32,3,34,3,34,0,33,-4,32,-2,27,-5,25,-3,22,-1,18,0,17,4,14,8,13,11,13,15,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-3,-6,-7,-4,-7,-1,-10,1,-13,3,-17,3,-20,3,-24,3,-28,2,-30,0,-30,-1,-32,-3,-30,-3,-27,-3,-24,-2,-19,1,-16,4,-12,9,-10,12,-10,17,-13,21,-13,25,-15,27,-18,28,-22,25,-24
CSI:-51,-48,12,0,-22,-22,-18,-18,-14,-15,-10,-11,-5,-13,0,-12,5,-13,9,-16,12,-21,15,-26,13,-29,13,-31,10,-33,10,-36,6,-33,7,-31,6,-28,6,-27,6,-19,8,-17,11,-13,14,-11,18,-7,20,-6,24,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,7,-6,3,-9,0,-10,-2,-14,-5,-18,-5,-22,-5,-26,-6,-29,-5,-32,-4,-32,-2,-32,-1,-30,0,-26,1,-22,0,-18,-1,-13,-3,-11,-7,-8,-12,-7,-15,-7,-21,-8,-25,-11,-29,-15,-31,-18,-31,-21,-33
CSI:98,32,6,0,19,-15,18,-12,13,-9,11,-3,9,2,10,7,12,10,14,14,17,16,20,17,23,16,26,16,30,13,28,12,30,12,27,10,23,9,19,10,16,10,13,12,11,13,9,15,7,19,6,23,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-4,0,-6,2,-7,6,-10,8,-12,9,-15,10,-18,9,-21,9,-24,8,-25,7,-26,5,-26,5,-24,4,-21,5,-18,5,-14,9,-10,12,-7,16,-7,20,-6,24,-6,28,-6,30,-9,32,-11,31,-14,30,-15
CSI:-64,0,12,0,6,-22,3,-20,6,-14,6,-9,11,-2,11,2,17,4,21,7,23,5,26,4,29,2,31,0,30,-2,31,-3,29,-5,28,-3,24,-3,22,-1,18,3,17,5,14,9,14,12,13,17,14,18,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-3,-5,-3,-8,-3,-11,-4,-16,-4,-19,-8,-21,-9,-23,-11,-24,-14,-24,-14,-24,-15,-22,-13,-21,-11,-17,-8,-16,-4,-14,1,-13,4,-13,10,-14,14,-17,17,-19,18,-23,21,-26,17,-29,16,-30,15,-30
CSI:-70,-96,11,0,22,-8,19,-6,13,-2,11,-1,9,5,8,9,8,14,10,18,11,19,12,25,17,24,22,21,21,23,23,21,23,19,22,17,19,17,16,15,12,14,10,15,6,16,3,18,1,20,-2,22,-3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,2,-6,4,-6,7,-7,9,-9,13,-13,14,-14,15,-19,15,-20,14,-23,14,-23,12,-23,10,-22,10,-19,10,-15,9,-10,11,-7,13,-3,16,0,19,2,23,2,27,2,30,0,32,-1,32,-3,31,-7
CSI:-104,-127,25,0,-23,-22,-20,-18,-9,-14,-9,-13,-3,-12,5,-15,9,-18,9,-23,13,-30,13,-34,12,-39,8,-38,6,-40,4,-41,0,-42,0,-37,1,-34,2,-30,5,-27,7,-24,10,-22,14,-19,19,-20,22,-21,24,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,-7,-1,-9,-5,-13,-8,-16,-10,-20,-11,-26,-12,-28,-11,-31,-11,-33,-8,-34,-7,-33,-6,-31,-5,-27,-3,-22,-5,-18,-7,-14,-10,-11,-15,-10,-20,-10,-23,-11,-30,-13,-34,-20,-36,-19,-37,-23,-37,-23,-34
CSI:101,80,6,0,-23,21,-16,20,-10,13,-8,10,-5,3,-6,-3,-1,-11,-3,-15,-8,-20,-10,-23,-14,-26,-16,-27,-19,-27,-20,-26,-20,-24,-19,-24,-16,-20,-12,-19,-9,-16,-3,-15,2,-13,8,-11,12,-12,18,-12,21,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-8,0,-4,0,0,2,5,2,9,4,13,8,17,10,20,11,22,15,23,16,23,16,22,15,21,13,18,10,15,4,12,1,10,-6,9,-11,9,-17,8,-22,11,-27,14,-29,17,-31,20,-32,20,-32,25
CSI:-93,48,10,0,-18,28,-14,22,-7,16,-5,8,-3,4,-2,-5,-4,-10,-6,-17,-9,-21,-12,-23,-16,-27,-19,-26,-20,-27,-22,-26,-21,-25,-19,-22,-15,-19,-11,-17,-7,-15,-1,-13,4,-13,9,-10,15,-10,19,-10,25,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-2,-2,-1,1,3,5,8,8,11,10,16,12,18,14,22,14,24,14,25,15,23,13,22,13,19,11,15,10,9,9,2,8,-4,9,-11,11,-17,14,-20,17,-24,20,-27,24,-27,27,-27,30,-24,30
CSI:119,112,7,0,34,5,28,1,19,0,13,0,5,-1,-2,5,-8,7,-11,13,-13,20,-16,22,-15,31,-15,30,-16,32,-14,33,-12,33,-11,31,-12,28,-10,23,-10,17,-12,12,-14,5,-17,0,-19,-4,-23,-9,-25,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,5,-2,2,0,-2,4,-4,7,-9,11,-13,12,-17,14,-22,14,-25,14,-28,15,-29,13,-29,12,-28,10,-25,10,-20,9,-14,10,-6,12,-2,15,4,19,10,24,15,28,17,33,18,38,17,42,17,40,14
CSI:-103,-112,9,0,-26,25,-22,21,-13,14,-7,10,-7,4,-5,-3,-2,-11,-3,-18,-4,-23,-8,-27,-14,-31,-15,-32,-18,-31,-19,-33,-21,-29,-19,-28,-17,-25,-13,-23,-8,-18,-3,-15,3,-14,9,-13,15,-14,21,-13,25,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-3,0,1,0,6,1,11,3,16,5,20,7,24,10,26,12,28,13,30,15,28,14,26,11,23,8,18,4,14,-3,11,-8,10,-15,9,-22,9,-27,9,-31,12,-35,15,-41,20,-38,19,-40,21
